PC-ID_id,PC-Substance_synonyms_E
1,MOLI000002
2,MOLI000003
3,MOLI000005
4,MOLI000006
5,MOLI000007
6,MOLI000008
7,MOLI000009
8,MOLI000010
9,MOLI000011
10,MOLI000012
11,MOLI000013
12,MOLI000014
13,MOLI000015
14,MOLI000016
15,MOLI000017
16,MOLI000018
17,MOLI000019
18,MOLI000020
19,MOLI000022
20,MOLI000023
21,MOLI000024
22,MOLI000025
23,MOLI000026
24,MOLI000027
25,MOLI000028
26,MOLI000029
27,MOLI000030
28,MOLI000031
29,MOLI000032
30,MOLI000033
31,MOLI000034
32,MOLI000035
33,MOLI000036
34,MOLI000037
35,MOLI000038
36,MOLI000039
37,MOLI000040
38,MOLI000041
39,MOLI000042
40,MOLI000043
41,MOLI000044
42,MOLI000045
43,MOLI000046
44,MOLI000047
45,MOLI000048
46,MOLI000049
47,MOLI000050
48,MOLI000051
49,MOLI000052
50,MOLI000053
51,MOLI000054
52,MOLI000055
53,MOLI000056
54,MOLI000058
55,MOLI000059
56,MOLI000060
57,MOLI000061
58,MOLI000062
59,MOLI000063
60,MOLI000065
61,MOLI000066
62,MOLI000067
63,MOLI000068
64,MOLI000069
65,MOLI000070
66,MOLI000071
67,MOLI000072
68,MOLI000073
69,MOLI000074
70,MOLI000075
71,MOLI000076
72,MOLI000077
73,MOLI000078
74,MOLI000079
75,MOLI000080
76,MOLI000081
77,MOLI000082
78,MOLI000083
79,MOLI000084
80,MOLI000085
81,MOLI000086
82,MOLI000087
83,MOLI000088
84,MOLI000089
85,MOLI000090
86,MOLI000091
87,MOLI000092
88,MOLI000093
89,MOLI000094
90,MOLI000095
91,MOLI000096
92,MOLI000097
93,MOLI000098
94,MOLI000099
95,MOLI000100
96,MOLI000101
97,MOLI000102
98,MOLI000103
99,MOLI000104
100,MOLI000105
101,MOLI000106
102,MOLI000107
103,MOLI000108
104,MOLI000109
105,MOLI000110
106,MOLI000112
107,MOLI000114
108,MOLI000115
109,MOLI000116
110,MOLI000117
111,MOLI000118
112,MOLI000119
113,MOLI000120
114,MOLI000121
115,MOLI000123
116,MOLI000125
117,MOLI000126
118,MOLI000127
119,MOLI000128
120,MOLI000129
121,MOLI000130
122,MOLI000131
123,MOLI000132
124,MOLI000133
125,MOLI000134
126,MOLI000135
127,MOLI000136
128,MOLI000137
129,MOLI000138
130,MOLI000139
131,MOLI000140
132,MOLI000141
133,MOLI000142
134,MOLI000143
135,MOLI000144
136,MOLI000145
137,MOLI000146
138,MOLI000147
139,MOLI000148
140,MOLI000149
141,MOLI000150
142,MOLI000151
143,MOLI000152
144,MOLI000153
145,MOLI000154
146,MOLI000155
147,MOLI000156
148,MOLI000158
149,MOLI000159
150,MOLI000160
151,MOLI000161
152,MOLI000162
153,MOLI000163
154,MOLI000164
155,MOLI000165
156,MOLI000166
157,MOLI000167
158,MOLI000168
159,MOLI000169
160,MOLI000170
